_get_feedback | HELPER | Shared | Coordinates services.learning.behavior_tracker, services.learning.feedback_interpreter. | None identified | MAIN
update_campaign | ROUTE | Campaigns | HTTP handler for PUT /api/web/session/{session_token}/campaigns/{campaign_id}. | services/workspace_timeline.py | services/workspace_timeline.py
_build_strategy_context | HELPER | Campaigns | Assemble the strategy-generation context from a campaign's persisted state. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_run_strategy_job | JOBS | Jobs | Generate + persist a campaign strategy off the request path. | services/job_engine/** | services/job_engine/**
generate_campaign_strategy | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/campaigns/{campaign_id}/generate-strategy. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_persist_strategy_job_meta | JOBS | Campaigns | PR-3F: persist strategy-job lifecycle into campaign settings so job state survives process restarts (Supabase = source of truth). | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_load_strategy_job_meta | JOBS | Campaigns | Coordinates asyncio. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_reconcile_strategy_meta | HELPER | Jobs | Lazy restart reconciliation. | services/job_engine/** | services/job_engine/**
_reconcile_stale_strategy_jobs | JOBS | Campaigns | Mark interrupted persisted strategy runs terminal after a restart. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_enqueue_strategy_job | JOBS | Campaigns | Enqueue a strategy generation job, reusing any in-flight job. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_maybe_auto_strategy | HELPER | Campaigns | Carry discovery research into the campaign as its strategy — once. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
strategy_job_status | ROUTE | Campaigns | Poll endpoint for a background strategy generation job. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
add_campaign_lead | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/campaigns/{campaign_id}/leads. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
decide_workspace_lead | ROUTE | Discovery | HTTP handler for POST /api/web/session/{session_token}/leads/decision. | services/discovery.py / services/job_engine/** | services/discovery.py / services/job_engine/**
_dispatch_campaign_sends | ORCHESTRATION | Campaigns | Coordinates services.communication.reply_simulator, services.outbound.draft_store, services.outbound.outbound_executor, and other services. | services/communication/**; services/outbound/** | services/communication/**; services/outbound/**
_update_campaign_launch_progress | HELPER | Campaigns | Persist launch progress onto the durable campaign row for polling. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
delete_campaign | ROUTE | Campaigns | HTTP handler for DELETE /api/web/session/{session_token}/campaigns/{campaign_id}. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
duplicate_campaign | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/campaigns/{campaign_id}/duplicate. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
attach_discovery_to_campaign | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/campaigns/{campaign_id}/attach-discovery. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
list_campaign_drafts | ROUTE | Campaigns | HTTP handler for GET /api/web/session/{session_token}/campaigns/{campaign_id}/drafts. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
generate_campaign_drafts | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/campaigns/{campaign_id}/generate-drafts. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
campaign_generation_status | ROUTE | Campaigns | HTTP handler for GET /api/web/session/{session_token}/campaigns/{campaign_id}/generation-status. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
_launch_initial_research | ORCHESTRATION | Discovery/Jobs | Start first research immediately after onboarding finalization. | services/job_engine/**; services/workspace_timeline.py | services/job_engine/**; services/workspace_timeline.py
_mc_phase | HELPER | Shared | Coordinates time. | None identified | MAIN
mission_control_summary | ROUTE | Mission Control | HTTP handler for GET /api/web/session/{session_token}/mission-control. | services/job_engine/** | services/job_engine/**
briefing_endpoint | ROUTE | Mission Control | HTTP handler for GET /api/web/session/{session_token}/briefing. | services/mission_control/** | services/mission_control/**
export_csv | ROUTE | Drafts/Outbound | HTTP handler for GET /api/web/session/{session_token}/export-csv. | services/outbound/** | services/outbound/**
select_lead_endpoint | ROUTE | Identity/Auth | HTTP handler for POST /api/web/session/{session_token}/select-lead. | services/identity/** | services/identity/**
preview_lead_endpoint | ROUTE | Identity/Auth | HTTP handler for POST /api/web/session/{session_token}/preview-lead. | services/identity/** | services/identity/**
get_web_session_internal | HELPER | Inbox/Conversations | Local application helper or response-shaping logic. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
ensure_workflow_session_internal | ORCHESTRATION | Inbox/Conversations | Local application helper or response-shaping logic. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
log_conversation_internal | PERSISTENCE | Inbox/Conversations | Local application helper or response-shaping logic. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
get_web_gmail_status | ROUTE | Provider/OAuth | HTTP handler for GET /api/web/session/{session_token}/gmail. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
google_callback | ROUTE | Provider/OAuth | Legacy Telegram Gmail-connect callback. | services/communication/** / services/identity/** | services/communication/** / services/identity/**
_resolve_web_user_id | AUTH | Discovery | Resolve (user_id, session_token) for web job/discovery endpoints. | services/discovery.py / services/job_engine/** | services/discovery.py / services/job_engine/**
_create_search_run | JOBS | Discovery/Jobs | Create a first-class discovery entity AND the search job that fills it. | services/job_engine/** | services/job_engine/**
start_search | ROUTE | Discovery/Jobs | HTTP handler for POST /api/jobs/search. | services/job_engine/** / workflow_dispatcher.py | services/job_engine/** / workflow_dispatcher.py
create_discovery_endpoint | ROUTE | Discovery | Create a new research run as a first-class discovery entity. | services/discovery.py / services/job_engine/** | services/discovery.py / services/job_engine/**
list_discoveries_endpoint | ROUTE | Discovery | Recent discoveries for the workspace, newest first. | services/discovery.py / services/job_engine/** | services/discovery.py / services/job_engine/**
get_discovery_endpoint | ROUTE | Discovery | One discovery with its surfaced companies and leads. | services/discovery.py / services/job_engine/** | services/discovery.py / services/job_engine/**
get_job | ROUTE | Jobs | HTTP handler for GET /api/jobs/{job_id}. | services/job_engine/** | services/job_engine/**
get_job_results | ROUTE | Jobs | HTTP handler for GET /api/jobs/{job_id}/results. | services/job_engine/** | services/job_engine/**
list_jobs | ROUTE | Jobs | HTTP handler for GET /api/jobs. | services/job_engine/** | services/job_engine/**
plan_workflow_endpoint | ROUTE | Campaigns | HTTP handler for POST /api/web/session/{session_token}/plan. | Campaign application service (not yet extracted) | Campaign application service (not yet extracted)
execute_workflow_endpoint | ROUTE | Identity/Auth | HTTP handler for POST /api/web/session/{session_token}/workflows/execute. | services/identity/** | services/identity/**
_require_workflow_owned | ROUTE | Identity/Auth | Return the workflow runtime only when it belongs to the caller's session. | services/identity/** | services/identity/**
get_workflow_status | ORCHESTRATION | Identity/Auth | Coordinates services.workflow_progress. | services/identity/** | services/identity/**
get_workflow_events_endpoint | ROUTE | Identity/Auth | HTTP handler for GET /api/web/session/{session_token}/workflows/{workflow_id}/events. | services/identity/** | services/identity/**
approve_workflow_step | ROUTE | Identity/Auth | HTTP handler for POST /api/web/session/{session_token}/workflows/{workflow_id}/approve. | services/identity/** | services/identity/**
list_workflows | ROUTE | Identity/Auth | HTTP handler for GET /api/web/session/{session_token}/workflows. | services/identity/** | services/identity/**
workflow_history | ROUTE | Identity/Auth | HTTP handler for GET /api/web/session/{session_token}/workflows/history. | services/identity/** | services/identity/**
workflow_events_after | ROUTE | Identity/Auth | HTTP handler for GET /api/web/session/{session_token}/workflows/{workflow_id}/events/stream. | services/identity/** | services/identity/**
pause_workflow_endpoint | ROUTE | Identity/Auth | HTTP handler for POST /api/web/session/{session_token}/workflows/{workflow_id}/pause. | services/identity/** | services/identity/**
resume_workflow_endpoint | ROUTE | Identity/Auth | HTTP handler for POST /api/web/session/{session_token}/workflows/{workflow_id}/resume. | services/identity/** | services/identity/**
cancel_workflow_endpoint | ROUTE | Identity/Auth | HTTP handler for POST /api/web/session/{session_token}/workflows/{workflow_id}/cancel. | services/identity/** | services/identity/**
list_conversations_route | ROUTE | Inbox/Conversations | HTTP handler for GET /api/web/session/{session_token}/conversations. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
get_conversation_route | ROUTE | Inbox/Conversations | HTTP handler for GET /api/web/session/{session_token}/conversations/{conversation_id}. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
get_conversation_timeline_route | ROUTE | Inbox/Conversations | HTTP handler for GET /api/web/session/{session_token}/conversations/{conversation_id}/timeline. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
get_conversation_messages_route | ROUTE | Inbox/Conversations | HTTP handler for GET /api/web/session/{session_token}/conversations/{conversation_id}/messages. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
get_conversation_reasoning_route | ROUTE | Inbox/Conversations | HTTP handler for GET /api/web/session/{session_token}/conversations/{conversation_id}/reasoning. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
get_conversation_plan_route | ROUTE | Inbox/Conversations | HTTP handler for POST /api/web/session/{session_token}/conversations/{conversation_id}/plan. | services/planner/** | services/planner/**
_build_plan_explainability | HELPER | Shared | Local application helper or response-shaping logic. | None identified | MAIN
generate_reply_route | ROUTE | Inbox/Conversations | HTTP handler for POST /api/web/session/{session_token}/conversations/{conversation_id}/generate-reply. | services/conversations/** / services/communication/** | services/conversations/** / services/communication/**
send_conversation_reply_route | ROUTE | Inbox/Conversations | HTTP handler for POST /api/web/session/{session_token}/conversations/{conversation_id}/reply. | services/outbound/** | services/outbound/**
send_conversation_followup_route | ROUTE | Inbox/Conversations | HTTP handler for POST /api/web/session/{session_token}/conversations/{conversation_id}/follow-up. | services/outbound/** | services/outbound/**
_SSE_HEARTBEAT_SECONDS | STATE | Application State | In-process main.py state: 15.0. | services/workspace_state.py / durable repositories where applicable | MAIN
_SSE_REVOCATION_CHECK_SECONDS | STATE | Application State | In-process main.py state: 30.0. | services/workspace_state.py / durable repositories where applicable | MAIN
events_stream | ROUTE | Identity/Auth | User-scoped Server-Sent Events gateway (PR-3D). | services/identity/** | services/identity/**
TOTAL meaningful units | 256
ROUTES | 128
BUSINESS-LOGIC | 5
HELPERS | 57
PERSISTENCE | 4
ORCHESTRATION | 13
STATE | 21
DUPLICATE/OVERLAPPING UNITS | 221
UNIQUE MAIN-ONLY RESPONSIBILITIES | 35
20 LARGEST/HIGHEST-COUPLING SECTIONS |
post_web_session_message | lines 3688-4302 | Identity/Auth | 615 lines; 5 imported-service dependencies; coupling score 690
lifespan | lines 190-446 | Shared | 257 lines; 6 imported-service dependencies; coupling score 347
_build_copilot_workspace_context | lines 1121-1337 | Copilot | 217 lines; 6 imported-service dependencies; coupling score 307
save_campaign | lines 6796-6931 | Campaigns | 136 lines; 7 imported-service dependencies; coupling score 241
_restore_providers_on_startup | lines 1527-1662 | Provider/OAuth | 136 lines; 7 imported-service dependencies; coupling score 241
_process_batch_drafts | lines 1969-2129 | Drafts/Outbound | 161 lines; 5 imported-service dependencies; coupling score 236
_run_copilot_campaign | lines 2369-2548 | Copilot | 180 lines; 3 imported-service dependencies; coupling score 225
mission_control_summary | lines 8158-8304 | Mission Control | 147 lines; 5 imported-service dependencies; coupling score 222
_run_copilot_inbox | lines 2675-2843 | Copilot | 169 lines; 3 imported-service dependencies; coupling score 214
send_draft | lines 5656-5777 | Drafts/Outbound | 122 lines; 6 imported-service dependencies; coupling score 212
send_conversation_reply_route | lines 9353-9517 | Inbox/Conversations | 165 lines; 3 imported-service dependencies; coupling score 210
_dispatch_campaign_sends | lines 7656-7804 | Campaigns | 149 lines; 4 imported-service dependencies; coupling score 209
_reconcile_stale_search_jobs | lines 926-1118 | Discovery/Jobs | 193 lines; 1 imported-service dependencies; coupling score 208
_create_search_run | lines 8554-8688 | Discovery/Jobs | 135 lines; 4 imported-service dependencies; coupling score 195
_perform_gmail_oauth_persistence | lines 3392-3506 | Provider/OAuth | 115 lines; 5 imported-service dependencies; coupling score 190
send_conversation_followup_route | lines 9521-9660 | Inbox/Conversations | 140 lines; 3 imported-service dependencies; coupling score 185
refine_draft | lines 4483-4599 | Drafts/Outbound | 117 lines; 4 imported-service dependencies; coupling score 177
google_callback | lines 8474-8534 | Provider/OAuth | 61 lines; 7 imported-service dependencies; coupling score 166
provider_list | lines 5175-5278 | Provider/OAuth | 104 lines; 4 imported-service dependencies; coupling score 164
_run_copilot_outreach | lines 2551-2672 | Copilot | 122 lines; 2 imported-service dependencies; coupling score 152
