LOQI R1-A — EXTERNAL CONTRACT FREEZE
Generated from current source and test references; read-only characterization. Date: 2026-08-27.
STATUS LEGEND: VERIFIED = implementation plus direct test reference located; IMPLEMENTED but untested = source route exists but no direct route-level test located; TESTED but implementation path unclear = test reference found but request/response contract is not explicit in source; UNCLEAR/CONTRADICTORY = actual contract has conflicting/implicit behavior.

GLOBAL TRANSPORT / AUTH CONTRACT
• Legacy web-session family (/api/web/session/...): HTTP middleware requires Authorization: Bearer <identity access token or web-session bearer>; path {session_token} is explicitly ignored as a credential. Missing/invalid credentials return {"detail": string}, 401. The creation bootstrap POST /api/web/session is excluded.
• Selected workspace: X-Workspace-Id is optional client input, independently membership-authorized. Multi-workspace/no selection can return 409; legacy owner default fallback remains in _resolved_workspace_id_or_default, so this is an explicit compatibility exception, not universal strict workspace selection.
• Identity routers: Authorization: Bearer opaque identity access-session token, with 401 {"detail": string}; OAuth callbacks use query parameters/state; Stripe webhook uses Stripe-Signature; Telegram webhook authenticity is not evident at route decorator level.
• Request headers observed: Authorization; X-Workspace-Id; X-Timezone (briefing); Stripe-Signature; standard OAuth callback query code/state. No cookie auth is accepted by identity dependency.
• Generic FastAPI validation errors are 422 with detail array. Explicit HTTPException usually serializes as {"detail": string}; unhandled exceptions are framework 500 (shape not explicitly frozen by application).

ROUTE MANIFEST — EVERY DECLARED HTTP ROUTE
Columns: STATUS | METHOD PATH | AUTH/HEADERS | REQUEST | SUCCESS/ERROR CONTRACT | IMPLEMENTATION
IMPLEMENTED but untested | POST /api/web/session/{session_token}/campaigns/{campaign_id}/duplicate | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7942 (duplicate_campaign)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/campaigns/{campaign_id}/attach-discovery | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, payload:AttachDiscoveryRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:7964 (attach_discovery_to_campaign)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/campaigns/{campaign_id}/drafts | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8042 (list_campaign_drafts)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/campaigns/{campaign_id}/generate-drafts | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, request:Request | 202 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8052 (generate_campaign_drafts)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/campaigns/{campaign_id}/generation-status | legacy web-session; Bearer middleware; path session token ignored | session_token:str, campaign_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8115 (campaign_generation_status)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/mission-control | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request, onboarding_user_id:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8232 (mission_control_summary)
VERIFIED | GET /api/web/session/{session_token}/briefing | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request, onboarding_user_id:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8382 (briefing_endpoint)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/export-csv | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8413 (export_csv)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/select-lead | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:SelectLeadRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8453 (select_lead_endpoint)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/preview-lead | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:PreviewLeadRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8489 (preview_lead_endpoint)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/gmail | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8529 (get_web_gmail_status)
IMPLEMENTED but untested | GET /google/callback | OAuth/provider callback; state/session-derived identity where applicable | code:str, state:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8548 (google_callback)
IMPLEMENTED but untested | POST /api/jobs/search | Bearer resolved by _resolve_web_user_id/_resolve_session_context | payload:StartSearchRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8766 (start_search)
VERIFIED | POST /api/discoveries | Bearer resolved by _resolve_web_user_id/_resolve_session_context | payload:CreateDiscoveryRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8783 (create_discovery_endpoint)
IMPLEMENTED but untested | GET /api/discoveries | Bearer resolved by _resolve_web_user_id/_resolve_session_context | request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8804 (list_discoveries_endpoint)
IMPLEMENTED but untested | GET /api/discoveries/{discovery_id} | Bearer resolved by _resolve_web_user_id/_resolve_session_context | discovery_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8819 (get_discovery_endpoint)
IMPLEMENTED but untested | GET /api/jobs/{job_id} | Bearer resolved by _resolve_web_user_id/_resolve_session_context | job_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8836 (get_job)
IMPLEMENTED but untested | GET /api/jobs/{job_id}/results | Bearer resolved by _resolve_web_user_id/_resolve_session_context | job_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8850 (get_job_results)
IMPLEMENTED but untested | GET /api/jobs | Bearer resolved by _resolve_web_user_id/_resolve_session_context | request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8868 (list_jobs)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/plan | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:PlanningInput, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8879 (plan_workflow_endpoint)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/workflows/execute | legacy web-session; Bearer middleware; path session token ignored | session_token:str, payload:ExecuteWorkflowRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8915 (execute_workflow_endpoint)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/workflows/{workflow_id} | legacy web-session; Bearer middleware; path session token ignored | workflow_id:str, request:Request, session_token:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8945 (_require_workflow_owned)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/workflows/{workflow_id}/events | legacy web-session; Bearer middleware; path session token ignored | session_token:str, workflow_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8972 (get_workflow_events_endpoint)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/workflows/{workflow_id}/approve | legacy web-session; Bearer middleware; path session token ignored | session_token:str, workflow_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:8981 (approve_workflow_step)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/workflows | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9003 (list_workflows)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/workflows/history | legacy web-session; Bearer middleware; path session token ignored | session_token:str, status:str | None, limit:int, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9014 (workflow_history)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/workflows/{workflow_id}/events/stream | legacy web-session; Bearer middleware; path session token ignored | session_token:str, workflow_id:str, after:int, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9023 (workflow_events_after)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/workflows/{workflow_id}/pause | legacy web-session; Bearer middleware; path session token ignored | session_token:str, workflow_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9033 (pause_workflow_endpoint)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/workflows/{workflow_id}/resume | legacy web-session; Bearer middleware; path session token ignored | session_token:str, workflow_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9054 (resume_workflow_endpoint)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/workflows/{workflow_id}/cancel | legacy web-session; Bearer middleware; path session token ignored | session_token:str, workflow_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9075 (cancel_workflow_endpoint)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/conversations | legacy web-session; Bearer middleware; path session token ignored | session_token:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9096 (list_conversations_route)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/conversations/{conversation_id} | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9111 (get_conversation_route)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/conversations/{conversation_id}/timeline | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9124 (get_conversation_timeline_route)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/conversations/{conversation_id}/messages | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9138 (get_conversation_messages_route)
IMPLEMENTED but untested | GET /api/web/session/{session_token}/conversations/{conversation_id}/reasoning | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9152 (get_conversation_reasoning_route)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/conversations/{conversation_id}/plan | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9189 (get_conversation_plan_route)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/conversations/{conversation_id}/generate-reply | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, body:dict, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9300 (generate_reply_route)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/conversations/{conversation_id}/reply | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, body:SendConversationReplyRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9427 (send_conversation_reply_route)
IMPLEMENTED but untested | POST /api/web/session/{session_token}/conversations/{conversation_id}/follow-up | legacy web-session; Bearer middleware; path session token ignored | session_token:str, conversation_id:str, body:SendConversationReplyRequest, request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9595 (send_conversation_followup_route)
VERIFIED | GET /api/events/stream | Bearer resolved by _resolve_web_user_id/_resolve_session_context | request:Request | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | main.py:9751 (events_stream)
IMPLEMENTED but untested | GET /health | public | none declared | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/operations/router.py:18 (health)
IMPLEMENTED but untested | GET /ready | public | none declared | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/operations/router.py:23 (ready)
IMPLEMENTED but untested | GET /version | public | none declared | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/operations/router.py:38 (version)
IMPLEMENTED but untested | GET /api/v1/auth/oauth/google | public/OAuth or body-token lifecycle; see function | redirect_uri:str | 200 OAuthRedirectResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:271 (oauth_google)
IMPLEMENTED but untested | GET /api/v1/auth/oauth/google/callback | public/OAuth or body-token lifecycle; see function | code:str, state:str | 200 OAuthCallbackResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:296 (oauth_google_callback)
IMPLEMENTED but untested | POST /api/v1/auth/signup/email | public/OAuth or body-token lifecycle; see function | payload:EmailSignupRequest | 200 SignupResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:349 (signup_email)
IMPLEMENTED but untested | GET /api/v1/auth/signup/email/status/{registration_session_id} | public/OAuth or body-token lifecycle; see function | registration_session_id:str | 200 StatusResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:368 (signup_status)
IMPLEMENTED but untested | POST /api/v1/auth/signup/email/verify | public/OAuth or body-token lifecycle; see function | payload:EmailVerifyRequest | 200 VerifyResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:389 (signup_verify)
IMPLEMENTED but untested | POST /api/v1/auth/signup/email/complete | public/OAuth or body-token lifecycle; see function | payload:EmailCompleteRequest | 200 TokenResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:405 (signup_complete)
IMPLEMENTED but untested | POST /api/v1/auth/login | public/OAuth or body-token lifecycle; see function | payload:LoginRequest | 200 LoginResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:432 (login)
IMPLEMENTED but untested | POST /api/v1/auth/refresh | public/OAuth or body-token lifecycle; see function | payload:RefreshRequest | 200 TokenResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:455 (refresh)
IMPLEMENTED but untested | POST /api/v1/auth/logout | public/OAuth or body-token lifecycle; see function | payload:LogoutRequest | 200 LogoutResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:478 (logout)
IMPLEMENTED but untested | GET /api/v1/auth/me | identity Bearer dependency | auth:AuthContext | 200 MeResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:493 (get_me)
IMPLEMENTED but untested | GET /api/v1/auth/sessions | identity Bearer dependency | auth:AuthContext | 200 SessionListResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:507 (list_sessions)
IMPLEMENTED but untested | DELETE /api/v1/auth/sessions/{session_id} | identity Bearer dependency | session_id:str, auth:AuthContext | 200 SessionRevokeResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:533 (revoke_session)
IMPLEMENTED but untested | POST /api/v1/auth/password/change | identity Bearer dependency | payload:PasswordChangeRequest, auth:AuthContext | 200 LogoutResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:562 (change_password)
IMPLEMENTED but untested | POST /api/v1/auth/password-reset/request | public/OAuth or body-token lifecycle; see function | payload:PasswordResetRequestPayload | 200 LogoutResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:583 (request_password_reset)
IMPLEMENTED but untested | POST /api/v1/auth/password-reset/confirm | public/OAuth or body-token lifecycle; see function | payload:PasswordResetConfirmRequest | 200 LogoutResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/identity/api.py:597 (confirm_password_reset)
IMPLEMENTED but untested | GET /api/v1/onboarding/context | production Bearer via _resolve_user_id; development compatibility allows user_id when no bearer | request:Request, user_id:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/onboarding/api.py:140 (get_personalization_context)
IMPLEMENTED but untested | GET /api/v1/onboarding | production Bearer via _resolve_user_id; development compatibility allows user_id when no bearer | request:Request, user_id:str | 200 OnboardingProgressResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/onboarding/api.py:156 (get_onboarding)
IMPLEMENTED but untested | POST /api/v1/onboarding/profile | production Bearer via _resolve_user_id; development compatibility allows user_id when no bearer | request:Request, user_id:str, payload:ProfileRequest | None | 200 OnboardingProgressResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/onboarding/api.py:174 (complete_profile)
IMPLEMENTED but untested | POST /api/v1/onboarding/workspace | production Bearer via _resolve_user_id; development compatibility allows user_id when no bearer | request:Request, user_id:str, payload:WorkspaceRequest | None | 200 OnboardingProgressResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/onboarding/api.py:204 (complete_workspace)
IMPLEMENTED but untested | POST /api/v1/onboarding/workspace/create | production Bearer via _resolve_user_id; development compatibility allows user_id when no bearer | request:Request, user_id:str, payload:WorkspaceCreateRequest | None | 200 WorkspaceCreateResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/onboarding/api.py:234 (create_workspace)
IMPLEMENTED but untested | POST /api/v1/onboarding/complete-step | production Bearer via _resolve_user_id; development compatibility allows user_id when no bearer | request:Request, payload:CompleteStepRequest, user_id:str | 200 OnboardingProgressResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/onboarding/api.py:274 (complete_step)
IMPLEMENTED but untested | GET /api/v1/onboarding/wizard | production Bearer via _resolve_user_id; development compatibility allows user_id when no bearer | request:Request, user_id:str | 200 WizardDataResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/onboarding/api.py:295 (get_wizard)
IMPLEMENTED but untested | POST /api/v1/onboarding/wizard | production Bearer via _resolve_user_id; development compatibility allows user_id when no bearer | request:Request, payload:WizardSaveRequest, user_id:str | 200 WizardSaveResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/onboarding/api.py:317 (save_wizard)
IMPLEMENTED but untested | POST /api/v1/organizations | identity Bearer + membership/role boundary (except creation still Bearer) | body:OrganizationCreate, request:Request, org_service:OrganizationService, current_user:str | 201 OrganizationResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:234 (create_organization)
IMPLEMENTED but untested | GET /api/v1/organizations | identity Bearer + membership/role boundary (except creation still Bearer) | request:Request, org_service:OrganizationService, current_user:str | 200 OrganizationListResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:256 (list_organizations)
IMPLEMENTED but untested | GET /api/v1/organizations/{organization_id} | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, request:Request, org_service:OrganizationService, current_user:str, _boundary:None | 200 OrganizationResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:269 (get_organization)
IMPLEMENTED but untested | PATCH /api/v1/organizations/{organization_id} | identity Bearer + membership/role boundary (except creation still Bearer) | body:OrganizationUpdate, organization_id:str, request:Request, org_service:OrganizationService, current_user:str, _boundary:None | 200 OrganizationResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:285 (update_organization)
IMPLEMENTED but untested | DELETE /api/v1/organizations/{organization_id} | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, request:Request, org_service:OrganizationService, current_user:str, _boundary:None | 204 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:310 (delete_organization)
IMPLEMENTED but untested | GET /api/v1/organizations/{organization_id}/members | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, status:MembershipStatus | None, request:Request, membership_service:MembershipService, current_user:str, _boundary:None | 200 list[MemberResponse]; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:328 (list_members)
IMPLEMENTED but untested | GET /api/v1/organizations/{organization_id}/members/me | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, request:Request, membership_service:MembershipService, current_user:str | 200 MemberResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:342 (get_my_membership)
IMPLEMENTED but untested | POST /api/v1/organizations/{organization_id}/members/role | identity Bearer + membership/role boundary (except creation still Bearer) | body:ChangeRoleRequest, organization_id:str, request:Request, membership_service:MembershipService, current_user:str, _boundary:None | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:357 (change_role)
IMPLEMENTED but untested | POST /api/v1/organizations/{organization_id}/transfer-ownership | identity Bearer + membership/role boundary (except creation still Bearer) | body:TransferOwnershipRequest, organization_id:str, request:Request, membership_service:MembershipService, current_user:str, _boundary:None | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:382 (transfer_ownership)
IMPLEMENTED but untested | POST /api/v1/organizations/{organization_id}/leave | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, request:Request, membership_service:MembershipService, current_user:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:406 (leave_organization)
IMPLEMENTED but untested | POST /api/v1/organizations/{organization_id}/remove-member | identity Bearer + membership/role boundary (except creation still Bearer) | body:RemoveMemberRequest, organization_id:str, request:Request, membership_service:MembershipService, current_user:str, _boundary:None | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:424 (remove_member)
IMPLEMENTED but untested | POST /api/v1/organizations/{organization_id}/invitations | identity Bearer + membership/role boundary (except creation still Bearer) | body:InviteRequest, organization_id:str, request:Request, invitation_service:InvitationService, current_user:str, _boundary:None | 201 InviteResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:447 (invite_member)
IMPLEMENTED but untested | GET /api/v1/organizations/{organization_id}/invitations | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, request:Request, invitation_service:InvitationService, current_user:str, _boundary:None | 200 list[InviteResponse]; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:472 (list_invitations)
IMPLEMENTED but untested | POST /api/v1/organizations/invitations/accept | identity Bearer + membership/role boundary (except creation still Bearer) | body:AcceptInvitationRequest, request:Request, invitation_service:InvitationService, current_user:str | 200 AcceptInvitationResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:490 (accept_invitation)
IMPLEMENTED but untested | POST /api/v1/organizations/invitations/{invitation_id}/revoke | identity Bearer + membership/role boundary (except creation still Bearer) | invitation_id:str, request:Request, invitation_service:InvitationService, current_user:str | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/organizations/api.py:512 (revoke_invitation)
IMPLEMENTED but untested | GET /api/v1/billing/plans | Bearer organization access, except /plans public and Stripe webhook signature | plan_service:PlanService | 200 PlansListResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/billing/api.py:193 (list_plans)
IMPLEMENTED but untested | GET /api/v1/billing/subscription | Bearer organization access, except /plans public and Stripe webhook signature | organization_id:str, sub_service:SubscriptionService, current_user:str | 200 SubscriptionResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/billing/api.py:206 (get_subscription)
IMPLEMENTED but untested | POST /api/v1/billing/checkout | Bearer organization access, except /plans public and Stripe webhook signature | body:CreateCheckoutRequest, checkout_service:CheckoutService, current_user:str | 201 CheckoutResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/billing/api.py:227 (create_checkout)
IMPLEMENTED but untested | POST /api/v1/billing/customer-portal | Bearer organization access, except /plans public and Stripe webhook signature | body:CustomerPortalRequest, customer_service:CustomerService, subscription_service:SubscriptionService, current_user:str | 200 CustomerPortalResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/billing/api.py:260 (customer_portal)
IMPLEMENTED but untested | POST /api/v1/billing/cancel | Bearer organization access, except /plans public and Stripe webhook signature | body:CancelSubscriptionRequest, sub_service:SubscriptionService, current_user:str | 200 CancelSubscriptionResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/billing/api.py:337 (cancel_subscription)
IMPLEMENTED but untested | POST /api/v1/billing/resume | Bearer organization access, except /plans public and Stripe webhook signature | organization_id:str, sub_service:SubscriptionService, current_user:str | 200 ResumeSubscriptionResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/billing/api.py:362 (resume_subscription)
IMPLEMENTED but untested | POST /api/v1/billing/webhooks/stripe | Bearer organization access, except /plans public and Stripe webhook signature | request:Request, webhook_service:WebhookService | 200 untyped JSON/object; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/billing/api.py:381 (stripe_webhook)
IMPLEMENTED but untested | GET /api/v1/capabilities | identity Bearer membership/role boundary except global capability list | capability_service:CapabilityService | 200 CapabilitiesListResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/capabilities/api.py:147 (list_capabilities)
IMPLEMENTED but untested | GET /api/v1/organizations/{organization_id}/capabilities | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, capability_service:CapabilityService, _boundary:None | 200 OrganizationCapabilitiesListResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/capabilities/api.py:160 (list_organization_capabilities)
IMPLEMENTED but untested | POST /api/v1/organizations/{organization_id}/capabilities/{slug}/enable | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, slug:str, capability_service:CapabilityService, current_user:str, _boundary:None | 200 EnableCapabilityResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/capabilities/api.py:175 (enable_organization_capability)
IMPLEMENTED but untested | POST /api/v1/organizations/{organization_id}/capabilities/{slug}/disable | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, slug:str, capability_service:CapabilityService, current_user:str, _boundary:None | 200 DisableCapabilityResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/capabilities/api.py:203 (disable_organization_capability)
IMPLEMENTED but untested | GET /api/v1/organizations/{organization_id}/capabilities/{slug}/usage | identity Bearer + membership/role boundary (except creation still Bearer) | organization_id:str, slug:str, capability_service:CapabilityService, _boundary:None | 200 CapabilityUsageResponse; 422 validation; explicit HTTPException {detail:string}; other errors route-specific/untyped | services/capabilities/api.py:228 (get_capability_usage)
